,Tweet,Label,tokenization
5540,ga ngestan sn tapi bias gue dia   sedih banget asli,Sad,"['ngestan', 'sn', 'bias', 'gue', 'sedih', 'banget', 'asli']"
1330,aamiin  semoga hari ada yang nyantol ya  semangat,Joy,"['aamiin', 'moga', 'nyantol', 'semangat']"
1087,santai aja bg  aku nanya karna emg gatau  di caption fungsi nya utk mengurangi kelelahan  aku baru tau  cara kerja nya yang gatau  santai ya bg  jgn gampang goblok goblokin orang goblok,Anger,"['santai', 'bg', 'nanya', 'karna', 'emg', 'gatau', 'caption', 'fungsi', 'kurang', 'lelah', 'kerja', 'gatau', 'santai', 'bg', 'gampang', 'goblok', 'goblokin', 'orang', 'goblok']"
2936,huhuu suka banget bangettt sama konsep cb taeyeon kali ini,Love,"['huhuu', 'suka', 'banget', 'bangettt', 'konsep', 'cb', 'taeyeon', 'kali']"
2758,ini laki satu suka bener pout sekarang  gak tau apa ya aku paling gak bisa liat cowo pout ginii  gemess banget soalnyaa,Love,"['laki', 'suka', 'bener', 'pout', 'liat', 'cowo', 'pout', 'ginii', 'gemess', 'banget', 'soalnyaa']"
3446,ingat lah rekan partner shohib ku  this is sabtu santai  enjoy ,Neutral,"['rekan', 'partner', 'shohib', 'ku', 'this', 'is', 'sabtu', 'santai', 'enjoy']"
3951,pagi ce   udah normal kah tweetnya  ,Neutral,"['pagi', 'ce', 'udah', 'normal', 'kah', 'tweetnya']"
3420,perahu dah sedia payung pun dah tersedia hanya menunggu hujan di langit saja apa macam mak aji sayang oii,Neutral,"['perahu', 'dah', 'sedia', 'payung', 'dah', 'sedia', 'tunggu', 'hujan', 'langit', 'mak', 'aji', 'sayang', 'oii']"
4448,udh di anggep anak y mana ada takutnya dia  selain itu dia emg percaya sama hal begitu,Neutral,"['udh', 'anggep', 'anak', 'y', 'takut', 'emg', 'percaya']"
1059,hahaha betul sekali aku aja susah kalo udah gak suka sama orang benci nya sampai lama banget,Anger,"['hahaha', 'susah', 'udah', 'suka', 'orang', 'benci', 'banget']"
2454,suka banget rambut kuaci nya   tp aku gatau itu dpt darimana  ,Love,"['suka', 'banget', 'rambut', 'kuaci', 'tp', 'gatau', 'dpt', 'darimana']"
6405,shade cushion make over lebih cocok yang mana ya  kalo warm ivory keterangan ga  aku baru pertama kali mau beli bingung milih shade  takut salah,Fear,"['shade', 'cushion', 'make', 'over', 'cocok', 'warm', 'ivory', 'terang', 'kali', 'beli', 'bingung', 'milih', 'shade', 'takut', 'salah']"
1238,semoga keterima ya semangat ,Joy,"['moga', 'terima', 'semangat']"
2342,pagi pagi dapet kabar baik huhu nangis banget makasih ya allah,Joy,"['pagi', 'pagi', 'dapet', 'kabar', 'huhu', 'nang', 'banget', 'makasih', 'allah']"
3499,bisa  dibungkus plastik begitu selesai baca  emang harus dijaga suhunya kalo mau halamannya awet  ada yg make ziplock  ada yg pake plastik bening pembungkus biasa  kalo udh terlanjur kuning  bisa dikurangin kuningnya dgn cara diamplas pelan plan,Neutral,"['bungkus', 'plastik', 'selesai', 'baca', 'emang', 'jaga', 'suhu', 'halaman', 'awet', 'make', 'ziplock', 'pake', 'plastik', 'bening', 'bungkus', 'udh', 'lanjur', 'kuning', 'rangin', 'kuning', 'amplas', 'pelan', 'plan']"
719,pagi pagi udah emosi gara gara baca  ha,Anger,"['pagi', 'pagi', 'udah', 'emosi', 'gara', 'gara', 'baca', 'ha']"
1867,semangat harinya kak semoga banyak orderan yaa,Joy,"['semangat', 'hari', 'kak', 'moga', 'order', 'yaa']"
6440,jangan marah  ih jadi takut di makan nih,Fear,"['marah', 'ih', 'takut', 'makan']"
1379,semangat,Joy,['semangat']
1943,thank you buat ga nya dom jogja semoga taehyun  member tubatu lainnya  dan moa bahagia selalu happy taehyun day      ,Joy,"['thank', 'you', 'dom', 'jogja', 'moga', 'taehyun', 'member', 'tubatu', 'moa', 'bahagia', 'happy', 'taehyun', 'day']"
2426,bagus banget buat akuu   mungkin kalo suka genre drama trus genderband bakal suka fl nya jg independent  tapi bukan tipe fl yg badass,Love,"['bagus', 'banget', 'akuu', 'suka', 'genre', 'drama', 'trus', 'genderband', 'suka', 'fl', 'jg', 'independent', 'tipe', 'fl', 'badass']"
2031,alhamdulillah ga malu,Joy,"['alhamdulillah', 'malu']"
5319,kertas hiyo cakep banget  baru liat sekarang  itu udah dari tanggal    jan  sedih  ini hiyo beneran cantikk,Sad,"['kertas', 'hiyo', 'cakep', 'banget', 'liat', 'udah', 'tanggal', 'jan', 'sedih', 'hiyo', 'beneran', 'cantikk']"
5682,read this before dengar lagu mark  so bila dengar tadi teringat tweet ni  sedih do senanya lagu ni,Sad,"['read', 'this', 'before', 'dengar', 'lagu', 'mark', 'so', 'dengar', 'tweet', 'ni', 'sedih', 'do', 'sena', 'lagu', 'ni']"
1693,ayo semangat,Joy,"['ayo', 'semangat']"
6904,gue malu bgt di idm masuk wc cowo,Fear,"['gue', 'malu', 'bgt', 'idm', 'masuk', 'wc', 'cowo']"
1147,semangat ngantornyaa,Joy,"['semangat', 'ngantornyaa']"
2435,makin sering denger discography cix  makin ngerasa kayak  aduh  gue suka banget cix   ,Love,"['denger', 'discography', 'cix', 'ngerasa', 'kayak', 'aduh', 'gue', 'suka', 'banget', 'cix']"
7104,gila  sepi bgt rumah gue berasa nge kos nying takut ah,Fear,"['gila', 'sepi', 'bgt', 'rumah', 'gue', 'asa', 'nge', 'kos', 'nying', 'takut', 'ah']"
2285,ah  kabar baik pagi ini  thanl youu  big hit  thank you  jimin  thank you  allah alhamdulillah jimin,Joy,"['ah', 'kabar', 'pagi', 'thanl', 'youu', 'big', 'hit', 'thank', 'you', 'jimin', 'thank', 'you', 'allah', 'alhamdulillah', 'jimin']"
6572,malu bngt jatuh di parkiran,Fear,"['malu', 'bngt', 'jatuh', 'parkir']"
4347,dia takut kali aku gk jadi balik gess   padahal niatku baik buat belikin mereka ikan  udang  dll buat lauk mereka  tapi di sambut gitu  ya ampunn  aku masih blom sadar dstu,Neutral,"['takut', 'kali', 'gk', 'gess', 'niat', 'bikin', 'ikan', 'udang', 'dll', 'lauk', 'sambut', 'gitu', 'ampunn', 'blom', 'sadar', 'dstu']"
6225,menyendiri dulu dehh   mabok dulu biar ga panik,Fear,"['sendiri', 'dehh', 'mabok', 'panik']"
5140,sudah dikejutkan tampa di bangunin lagi  kamar sudah sepi dan berangkat ke masjid  sholikhah semunya anak  ada perkembangan ni,Neutral,"['kejut', 'tampa', 'bangunin', 'kamar', 'sepi', 'berangkat', 'masjid', 'sholikhah', 'semu', 'anak', 'kembang', 'ni']"
887,ga tau malu ga tau malu ga tau malu   ,Anger,"['malu', 'malu', 'malu']"
3338,ia menggeleng heran mendengar candaan gori namun masih tetap menanggapi dengan santai   yakin lah yakin  kalau tidak puas  nanti saya jajanin es krim sehari satu selama sehari   joshua membersihkan dada gori dengan teliti ,Neutral,"['geleng', 'heran', 'dengar', 'canda', 'gori', 'tanggap', 'santai', 'puas', 'jajanin', 'es', 'krim', 'hari', 'hari', 'joshua', 'bersih', 'dada', 'gori', 'teliti']"
4658,eco farming punya cerita  salam tani makmur,Neutral,"['eco', 'farming', 'cerita', 'salam', 'tani', 'makmur']"
5255,kok ikutan sedih ya   ,Sad,"['ikut', 'sedih']"
6853,agak ngeri yaa,Fear,"['ngeri', 'yaa']"
3851,pasti bingung kaget wakilnya  seperti biasa  sedangkan gabenernya sedang kampanye mimpi nyapres,Neutral,"['bingung', 'kaget', 'wakil', 'gabenernya', 'kampanye', 'mimpi', 'nyapres']"
2505,hehehehehehe aku kasih      tapi emang aku ga terlalu suka fake dating trope  kalo kamu suka harusnya lebih dari itu karena rep nya lumayan dan di akhir chara developmentnya keliatan  aku gasuka hani dan temen nya  banyak scenes islamophobic dan hani people pleaser banget,Love,"['hehehehehehe', 'kasih', 'emang', 'suka', 'fake', 'dating', 'trope', 'suka', 'rep', 'lumayan', 'chara', 'developmentnya', 'liat', 'gasuka', 'hani', 'temen', 'scenes', 'islamophobic', 'hani', 'people', 'pleaser', 'banget']"
3106,kalian pernah punya pacar suka ngutang ga  ntah kepinjol keluarga dan juga kalian kena  giliran ditagih bilang gaada dan enteng banget kayak gaada plan  betapa nyeselnya dia punya hutang kemantannya  emang si aku ga disuruh bayar  tapi watak nya ternyata bertolak,Love,"['pacar', 'suka', 'ngutang', 'ntah', 'kepinjol', 'keluarga', 'kena', 'gilir', 'tagih', 'gaada', 'enteng', 'banget', 'kayak', 'gaada', 'plan', 'betapa', 'nyeselnya', 'hutang', 'mantan', 'emang', 'suruh', 'bayar', 'watak', 'tolak']"
6614,takut kemalingan,Fear,"['takut', 'maling']"
1639,happy birthday marr   bahagia terus yaa,Joy,"['happy', 'birthday', 'marr', 'bahagia', 'yaa']"
4553,cucianku numpuk gara  hujan semalam untung cuacanya cerah hari ini,Neutral,"['cuci', 'numpuk', 'gara', 'hujan', 'malam', 'untung', 'cuaca', 'cerah']"
6481,gw ragu mw bls make kata  apa pake foto juga  dan akhirnya keluar dh,Fear,"['gw', 'ragu', 'mw', 'bls', 'make', 'pake', 'foto', 'dh']"
2620,aku suka banget sama hampir semua genre sih  kayanya kecuali metal sama rock    akhir akhir ini selera musikku lebih ke calming vibes yang enak didenger sambil mengerjakan apapun  coba dengerin ini deh kak ,Love,"['suka', 'banget', 'genre', 'kaya', 'kecuali', 'metal', 'rock', 'selera', 'musik', 'calming', 'vibes', 'enak', 'didenger', 'apa', 'coba', 'dengerin', 'deh', 'kak']"
6528,minta tolong unit barunya lgsg dipasangin semuanya sm dicek flashnya bisa atau engga udh worry aja dari awal beli takut ada apa  makanya smpe gosend instant taunya bener aja kena apes  untung sellernya baik mau ganti unit baru,Fear,"['tolong', 'unit', 'baru', 'lgsg', 'dipasangin', 'sm', 'cek', 'flashnya', 'engga', 'udh', 'worry', 'beli', 'takut', 'smpe', 'gosend', 'instant', 'tau', 'bener', 'kena', 'apes', 'untung', 'sellernya', 'ganti', 'unit']"
1825,udah puas bgt itu mam seblak,Joy,"['udah', 'puas', 'bgt', 'mam', 'seblak']"
2182,terima kasih banyak kak derza  aamiin aamiin terima kasih atas semua ucapan dan doa baiknya  semoga semua doa baiknya berbalik ke kamu ya  terima kasih sudah menyempatkan ngucapin selamat ulang tahun ke aku hehe  terima kasih juga atas hadiah  kue  dan bunganya  aku suka banget,Joy,"['terima', 'kasih', 'kak', 'derza', 'aamiin', 'aamiin', 'terima', 'kasih', 'ucap', 'doa', 'baik', 'moga', 'doa', 'baik', 'balik', 'terima', 'kasih', 'sempat', 'ngucapin', 'selamat', 'ulang', 'terima', 'kasih', 'hadiah', 'kue', 'bunga', 'suka', 'banget']"
312,halah hidup kok cuma modal kontol tapi pengen cewek banyak  berlindung dibawah sunah rosul  nih nabi yg denger pernyataan lo kayak gini nangis anjir  sesat bangsat  belajar agama boleh  tapi jangan sampe mabok kayak org ini ya teman ,Anger,"['halah', 'hidup', 'modal', 'ken', 'cewek', 'lindung', 'bawah', 'sunah', 'rosul', 'nabi', 'denger', 'nyata', 'lo', 'kayak', 'gin', 'nang', 'sesat', 'bangsat', 'ajar', 'agama', 'sampe', 'mabok', 'kayak', 'org', 'teman']"
1224,sabtu sek semangat makaryo pren  uang kenakalan cair ,Joy,"['sabtu', 'sek', 'semangat', 'makaryo', 'pren', 'uang', 'nakal', 'cair']"
5014,disini sepi banget,Neutral,"['sepi', 'banget']"
6423,soonyoung aku takut sama jihoon hiks ,Fear,"['soonyoung', 'takut', 'jihoon', 'hiks']"
4998,masih sepi ya,Neutral,['sepi']
2058,sbb aduu tegang gitu ye wkwk,Joy,"['sbb', 'aduu', 'tegang', 'gitu', 'ye', 'wkwk']"
5280,sedih banget ketika orang tua ekonomi nya lagi susah tapi berusaha keras untuk kebutuhan anaknya  maafin aku yaa pak  yang selalu nyusahin  semoga nanti bisa berkali kali lipat buat bahagia ibu dan bapak,Sad,"['sedih', 'banget', 'orang', 'tua', 'ekonomi', 'susah', 'usaha', 'keras', 'butuh', 'anak', 'maafin', 'yaa', 'nyusahin', 'moga', 'kali', 'kali', 'lipat', 'bahagia']"
2990,iya aku suka banget ngomong sendiri  ,Love,"['iya', 'suka', 'banget', 'ngomong']"
2432,suka banget,Love,"['suka', 'banget']"
2144,not sender tp aku jg udh selesai baca ini genre romance mental health bagus banget kalo suka cerita yg ga cuma ada romance nya tp jg bahas banyak hal tentang mental health yg banyak bahasan psikologi nya jg  dibawa jalan  jg krn authornya ngedeskripsiin tempatnya bagus ,Joy,"['not', 'sender', 'tp', 'jg', 'udh', 'selesai', 'baca', 'genre', 'romance', 'mental', 'health', 'bagus', 'banget', 'suka', 'cerita', 'romance', 'tp', 'jg', 'bahas', 'mental', 'health', 'bahas', 'psikologi', 'jg', 'bawa', 'jalan', 'jg', 'authornya', 'ngedeskripsiin', 'tempat', 'bagus']"
6752,ngeri banget temenmu nder,Fear,"['ngeri', 'banget', 'temenmu', 'nder']"
4457,pebalap motogp  enea bastianini  sampai harus memakai alat semacam tongkat untuk mengusir hewan yang ia sebut  batman  itu ,Neutral,"['balap', 'motogp', 'enea', 'bastianini', 'pakai', 'alat', 'tongkat', 'usir', 'hewan', 'batman']"
2676,suka banget beb,Love,"['suka', 'banget', 'beb']"
5920,jadi gak mood buka twitter bawaannya jadi sedih,Sad,"['mood', 'buka', 'twitter', 'bawa', 'sedih']"
5966,pernah ga si kalian nyakitin diri sendiri biar ga marah hehe,Sad,"['nyakitin', 'marah']"
1843,makasii  semangat juga buat hari ini pik  ,Joy,"['makasii', 'semangat', 'pik']"
3748,lima menit pun  setidak deras apapun hujan  tatap saja basah  yang kemudian bisa hadirkan sakit apabila kondisi badan tidak fit  tak jauh  mari a  tapak kaki injakan permukaan tanah yang mulai basah akibat rintik  pun tenn masukan tangan ke dalam saku jaketnya ,Neutral,"['menit', 'tidak', 'deras', 'apa', 'hujan', 'tatap', 'basah', 'hadir', 'sakit', 'kondisi', 'badan', 'fit', 'mari', 'a', 'tapak', 'kaki', 'injak', 'muka', 'tanah', 'basah', 'akibat', 'rintik', 'tenn', 'masuk', 'tangan', 'saku', 'jaket']"
5308,ig temen gw story nyh denise semua emang sedih tapi mau gimana lg ini udah keputusan dia tetap dukung secret number n denise lockey  ,Sad,"['ig', 'temen', 'gw', 'story', 'nyh', 'denise', 'emang', 'sedih', 'gimana', 'udah', 'putus', 'dukung', 'secret', 'number', 'denise', 'lockey']"
3483,biasa nya kalian mgespace ya  ,Neutral,['mgespace']
1318,nabilahjkt   suatu saat kita kn berdua    atap bahagia bahkan tuk selamanya,Joy,"['nabilahjkt', 'kn', 'dua', 'atap', 'bahagia', 'tuk']"
1050,brisik banget  ga suka ,Anger,"['brisik', 'banget', 'suka']"
5150,rangnick   siapa pun bisa membayangkan bagaimana dia  elanga   dia hancur dan benar benar kecewa    itv ,Neutral,"['rangnick', 'bayang', 'elanga', 'hancur', 'kecewa', 'itv']"
6859,gue nangis bgttttttt da ah malu seneng kaget jd satu amatt,Fear,"['gue', 'nang', 'bgttttttt', 'da', 'ah', 'malu', 'neng', 'kaget', 'amatt']"
2449,kelebihan vr aku mah paling suka pake vr buat nyelem di laut  hahaha itu kocak banget  anakku suka banget tuh main itu  sama bola ,Love,"['lebih', 'vr', 'mah', 'suka', 'pake', 'vr', 'nyelem', 'laut', 'hahaha', 'kocak', 'banget', 'anak', 'suka', 'banget', 'main', 'bola']"
6591,asli takut di bagian reading sama speaking,Fear,"['asli', 'takut', 'reading', 'speaking']"
5111,biar gak sedih sedih amat aku harus selalu ingat kalo mereka gak nyata,Neutral,"['sedih', 'sedih', 'nyata']"
3115,pangeran kodok sama siapa ya dulu  ya allah dulu suka banget sama ni sinetron,Love,"['pangeran', 'kodok', 'allah', 'suka', 'banget', 'ni', 'sinetron']"
3665,biasa didamel teh demi menafkahi diri sendiri,Neutral,"['didamel', 'teh', 'nafkah']"
2736,taurus lo tuh kadang egois bgt  keras kepala juga  suka memendam  kalau udah ngerasa nyaman susah lepasnya  tukang julid  trus lu klu loyal coba ngasih batasan jg dong,Love,"['taurus', 'lo', 'kadang', 'egois', 'bgt', 'keras', 'kepala', 'suka', 'pendam', 'udah', 'ngerasa', 'nyaman', 'susah', 'lepas', 'tukang', 'julid', 'trus', 'klu', 'loyal', 'coba', 'ngasih', 'batas', 'jg']"
5053,akibat fauzan terlalu kecewa dengan sang ayah yang memaksanya untuk mengikuti jejaknya menjadi seorang akuntan  itu bukan mimpinya sama sekali  dirinya tak memiliki bakat di sana ,Neutral,"['akibat', 'fauzan', 'kecewa', 'sang', 'ayah', 'paksa', 'ikut', 'jejak', 'akuntan', 'mimpi', 'milik', 'bakat']"
1412,semangat flo   ,Joy,"['semangat', 'flo']"
3972,mencoba santai meskipun hectic parah,Neutral,"['coba', 'santai', 'hectic', 'parah']"
3304,baru saja mengirim foto manyar gresik,Neutral,"['kirim', 'foto', 'manyar', 'gresik']"
4598,sarapan pake nasgor enak gk yh,Neutral,"['sarap', 'pake', 'nasgor', 'enak', 'gk', 'yh']"
49,dipta kamu jangan bego bisa ga ,Anger,"['dipta', 'bego']"
6693,kok ngeri,Fear,['ngeri']
3445,chris wilder   namun malam ini adalah soal malam luar biasa untuk klub sepakbola ini dan mengapa penggemar di seluruh dunia menikmati piala fa  tidak ada perasaan yang lebih baik daripada memenangi laga piala fa di old trafford pada jumat malam seperti ini  ,Neutral,"['chris', 'wilder', 'malam', 'malam', 'klub', 'sepakbola', 'gemar', 'dunia', 'nikmat', 'piala', 'fa', 'asa', 'tang', 'laga', 'piala', 'fa', 'old', 'trafford', 'jumat', 'malam']"
290,kalau tak p blaja tak p keje jauh  tak bergaul  rasanya aku pun benci ngan perangai aku thanks everyone sebb jadi contoh terbaik   ,Anger,"['p', 'blaja', 'p', 'keje', 'gaul', 'benci', 'ngan', 'perangai', 'thanks', 'everyone', 'sebb', 'contoh', 'baik']"
6965,iya ni mau aku jemur dirumah  kalo nggak mama marah,Fear,"['iya', 'ni', 'jemur', 'rumah', 'nggak', 'mama', 'marah']"
368,masih pagi loh  udah ada yg bikin emosi aja,Anger,"['pagi', 'udah', 'emosi']"
5662,morning bang disini lagi sedih bang liat anakku nangis terus karena kucing kesayanganya ketabrak mobil  ,Sad,"['morning', 'bang', 'sedih', 'bang', 'liat', 'anak', 'nang', 'kucing', 'kesayanganya', 'tabrak', 'mobil']"
3465,aku ini multi talenan karna ketutup sm rasa malas saja jd nya tidak terlihat bakatku,Neutral,"['multi', 'talenan', 'karna', 'tutup', 'sm', 'malas', 'bakat']"
833,haha fans aot marah gara  kalah rank sama sono bisque doll,Anger,"['haha', 'fans', 'aot', 'marah', 'gara', 'kalah', 'rank', 'sono', 'bisque', 'doll']"
5468,tiap pagi sedih   ,Sad,"['pagi', 'sedih']"
6464,ada kelass lagi nanti jam       nanti klo tidur  takut kelupaan jamm,Fear,"['kelass', 'jam', 'tidur', 'takut', 'lupa', 'jamm']"
1762,roti tawar pke mentega enak jg,Joy,"['roti', 'tawar', 'pke', 'mentega', 'enak', 'jg']"
1425,happy saturdayy   semangat buat hari ini  have a nice dayy         ,Joy,"['happy', 'saturdayy', 'semangat', 'have', 'a', 'nice', 'dayy']"
5991,dipaksa untuk mengerti perasaan emosi dirumah  sedangkan tidak sebaliknya this its not fair,Sad,"['paksa', 'erti', 'asa', 'emosi', 'rumah', 'this', 'its', 'not', 'fair']"
5347,padahal de gea baru dapet penghargaan  udah dibuat sedih lagi sama tim tolol,Sad,"['de', 'gea', 'dapet', 'harga', 'udah', 'sedih', 'tim', 'tolol']"
200,bapak pengkhianat negara bergaduh dengan bapak songlap negara dah tikam belakang ph nak jadi good cop   pulak lawak bodoh ,Anger,"['khianat', 'negara', 'gaduh', 'songlap', 'negara', 'dah', 'tikam', 'ph', 'nak', 'good', 'cop', 'pulak', 'lawak', 'bodoh']"
766,blibet ini basictnya apa koq tiap hr bcra bodoh trs  seolah pekerjaan sipil gt aja spt sesuatu yg ndak mgkn bs dikerjakan  jokowi yg ktanya sarjana kehutanan sja bs bkin toll langit dn toll laut ,Anger,"['blibet', 'basictnya', 'koq', 'hr', 'bcra', 'bodoh', 'trs', 'kerja', 'sipil', 'gt', 'spt', 'ndak', 'mgkn', 'bs', 'jokowi', 'ktanya', 'sarjana', 'hutan', 'sja', 'bs', 'bkin', 'toll', 'langit', 'dn', 'toll', 'laut']"
1794,   congrats keren nih pak mentri bumn erick thohir semangat pak ,Joy,"['congrats', 'keren', 'tri', 'bumn', 'erick', 'thohir', 'semangat']"
1398,enak donk,Joy,"['enak', 'donk']"
1562,enak banget aku kayaknya maret udah uts   tbl tbl,Joy,"['enak', 'banget', 'kayak', 'maret', 'udah', 'uts', 'tbl', 'tbl']"
2459,iya bener   aku demen banget cookies and cream,Love,"['iya', 'bener', 'demen', 'banget', 'cookies', 'and', 'cream']"
2047,kalo sunda jukut itu rumput kalo kalimantan timur jukut itu ikan   saya sunda nanya sama suami kalitim   abang makan nya sama apa    trs suami jawab makannya sama jukut   saya kaget kok suami saya makan nya pake rumput kaya kambing   ngakak kwkwkw,Joy,"['sunda', 'jukut', 'rumput', 'kalimantan', 'timur', 'jukut', 'ikan', 'sunda', 'nanya', 'suami', 'kalitim', 'abang', 'makan', 'trs', 'suami', 'makan', 'jukut', 'kaget', 'suami', 'makan', 'pake', 'rumput', 'kaya', 'kambing', 'ngakak', 'kwkwkw']"
1596,semangat buat hari ini ya   u deserve to be happy  anw  jgn lupa sarapan adolf,Joy,"['semangat', 'deserve', 'to', 'be', 'happy', 'anw', 'lupa', 'sarap', 'adolf']"
1710,happy birthday minju noona  semoga makin sukses dan makin bahagia ya  gbu,Joy,"['happy', 'birthday', 'minju', 'noona', 'moga', 'sukses', 'bahagia', 'gbu']"
625,ingin kesal  tapi benar,Anger,['kesal']
474,soumu bangsat ,Anger,"['soumu', 'bangsat']"
6469,ngeri ya,Fear,['ngeri']
6001,satu hal yang saya benci  terlambat menyayangi seseorang ,Sad,"['benci', 'lambat', 'sayang']"
261,genius kang taehyun happy birthday anak lanang sehat terus jan sakit klo sakit aku marah kangen tyunn sulap  jg pengin tyunn ada konten masak trus upload di yt gitu     ,Anger,"['genius', 'kang', 'taehyun', 'happy', 'birthday', 'anak', 'lanang', 'sehat', 'jan', 'sakit', 'sakit', 'marah', 'kangen', 'tyunn', 'sulap', 'jg', 'pengin', 'tyunn', 'konten', 'masak', 'trus', 'upload', 'yt', 'gitu']"
552,kalo dia marah sampe ngancurin barang kaya hp dia atau apa  plis tinggalin,Anger,"['marah', 'sampe', 'ngancurin', 'barang', 'kaya', 'hp', 'plis', 'tinggalin']"
4799,sakit tenggorokan awalnya  trs jadi demam naik turun  kepala suka pusing banget  trs flu dan batuk dehh  kalo nemj gejala gitu mending swab pcr aja  kalo emg     ntar suruh lapor ke puskesmas rtmu klo emg gejala ringan disuruh isoman aja  rajin rajin berjemur  makan sehat  vitamin diperbanyak,Neutral,"['sakit', 'tenggorok', 'trs', 'demam', 'turun', 'kepala', 'suka', 'pusing', 'banget', 'trs', 'flu', 'batuk', 'dehh', 'nemj', 'gejala', 'gitu', 'mending', 'swab', 'pcr', 'emg', 'ntar', 'suruh', 'lapor', 'puskesmas', 'rtmu', 'emg', 'gejala', 'ringan', 'suruh', 'isoman', 'rajin', 'rajin', 'jemur', 'makan', 'sehat', 'vitamin', 'banyak']"
2849, pliss aku suka bangett sama au nyaa  keselnya dapet  nyeseknya dapet  sedihnya juga dapet  pokoknya sukaa banget  baguss       aaaaaa demi apa sih aku kira kalian  kayak kurang dapet feelsnya      thank u sm udah mau baca tyi  ,Love,"['pliss', 'suka', 'bangett', 'au', 'nyaa', 'kesel', 'dapet', 'nyeseknya', 'dapet', 'sedih', 'dapet', 'pokok', 'sukaa', 'banget', 'baguss', 'aaaaaa', 'kayak', 'dapet', 'feelsnya', 'thank', 'sm', 'udah', 'baca', 'tyi']"
6352,sumpah takut banget,Fear,"['sumpah', 'takut', 'banget']"
4818,aku tipe org ya make  iya  ke org  tertentu  baik yg ga aku kenal  atau yg udah aku ga suka lagi  kalo  iyaa  ofc ke orang  yang deket banget sama aku dan aku udah kenal dia banget ,Neutral,"['tipe', 'org', 'make', 'iya', 'org', 'kenal', 'udah', 'suka', 'iyaa', 'ofc', 'orang', 'deket', 'banget', 'udah', 'kenal', 'banget']"
5542,kecewa,Sad,['kecewa']
6683,ngeri,Fear,['ngeri']
5885,bestie gue mau nikahh gatau kok rasanya sedih ya,Sad,"['bestie', 'gue', 'nikahh', 'gatau', 'sedih']"
